id;language;translation;hash
1;en;"Link with registration confirmation sent to Email.";4e5c3a82287c922d5c0f289df196b726
2;en;"Email successfully verified.";0204f21c31059735effccf01f37c4611
3;en;Registration;3cfa038bcdadc4a646353816e6923704
4;en;"Check your email and follow the instructions.";01e5a942297b9f351da7db8c08fddacf
5;en;"Sorry, we were unable to reset the password for the specified email address.";c11610647095402e1a0de24dda447156
6;en;"New password saved.";c11610647095402e1a0de24dda447156
7;en;Logout;836df658570ed43d4c461314a726c765
12;en;"Password reset";5c07b484c90bf8decb52cc879eb069e4
13;en;"Enter a new password";cfdf366a725805773088032ff7e36e63
14;en;Save;410a31a5337f49c6307f809bbc10f4ac
17;en;Send;71ce45bc03857d5830ca493adf291b65
18;en;Login;f019903d4e435d9f472ffe8a873639d8
19;en;"I\\\\\\\\\\\\\\\\\\\\\\\\\\'ve forgot my password";085414f0f530e641272777c8d5661193
20;en;Home;00cd05b3faf70916d1a8bc0343e2f0b4
22;en;"Publications ";0486cd1539d22122a512401de58c6b36
23;en;"<h1> Publications </h1>";4ac6b2dfb006c47b950c9578c01bcb29
28;en;Profile;7af840354f55cbf87bd5b372a6d45816
34;en;Basket;e35dc54d37374bc9db91e407ece6630a
37;en;Continent;33d28aa40c8fa04f38c6201bd4bee849
38;en;"Russian name";33d28aa40c8fa04f38c6201bd4bee849
39;en;Latitude;640cb44caed9c9aac510f8fd6d1fc240
40;en;Longitude;274765c6c703f4a98b84556def729605
41;en;"Time zone";bcbc6a375c04bf168f82871569d4ee16
42;en;"Short title";d5fcba6f0570b5e2f6c86200511adc1f
43;en;"Long title";8851e7fbf32402edaf7bb20a284ebef1
44;en;"Digital code";ee2f46b04df7126b121410e9b4fa2f54
45;en;Participant;d32571fa8c4b242895efd828ba67067c
46;en;"Telephone code";35e6ad8d84691f69e1b1e8f798c71f91
47;en;"Domain zone";51aac5cd9616d4f63d44f086cb03553b
48;en;"The number of digits in the phone number";156c0f5caf38ce8b7b6cc57021c12e8f
49;en;Currency;04fb4f8626dd045795dd3247cf476cb3
50;en;"Measurement system";91590d72b5a8de7c5cc578c4e5e0802f
51;en;Active;91590d72b5a8de7c5cc578c4e5e0802f
52;en;Name;a663b5c413f6fa296da81c78e513267c
53;en;Value;ee982015300b59237d6cd4738d867239
54;en;Type;e107bd23ee6d8f8708ef055dbcbc0330
55;en;Document;e107bd23ee6d8f8708ef055dbcbc0330
56;en;Field;abb94531a6c33b78c0f8992aa717715a
57;en;Position;abb94531a6c33b78c0f8992aa717715a
58;en;Name;6cb8dd96f1462e60152473ba7ce00313
59;en;Alias;0fe533a611fad1be6443b6570001a57c
61;en;Title;c81f9909a1cf133b0355e3450821d64f
62;en;"Meta keys";c66df2fcedc82d6ef7db45a1ab922be1
63;en;"Meta description";a50198e04575a69ce9f4e0d835a75caf
64;en;Annotation;c800a8562c1ecc89b6461fb156c59bdd
65;en;Content;c82161f145952129a53be19cbc838851
